SizeRank,RegionName,State,City,Metro,CountyName,Rent15,Rent16,Rent17,Rent18,Rent19,Rent20,Rent21,Rent22,Ss2015,Ss2016,Ss2017,Ss2018,Ss2019,Ss2020,Ss2021,Ss2022
0,77449,TX,,"Houston-The Woodlands-Sugar Land, TX",Harris County,1297.017178,1317.501143,1314.909379,1374.950638,1388.586905,1406.953915,1608.561192,1766.13134,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
1,77494,TX,,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1580.620121,1532.106639,1529.890347,1559.248416,1571.322792,1591.661253,1739.005223,1946.767562,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
2,79936,TX,El Paso,"El Paso, TX",El Paso County,1095.456,1115.345,1126.345,1128.456,1131.25,1135.456,1136.427352,1262.914798,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
4,11385,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2317.569703,2429.386439,2433.093432,2472.920909,2550.320078,2573.429301,2440.867845,2939.885355,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
5,90011,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1772.039812,1772.039812,1772.039812,1772.039812,1772.039812,1772.039812,1772.039812,1772.039812,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
6,60629,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,942.8179185,942.8179185,942.8179185,942.8179185,942.8179185,942.8179185,942.8179185,1050.902781,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
7,77084,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1221.913377,1228.992151,1245.468005,1294.584165,1334.283698,1351.424142,1447.055824,1663.631378,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
9,90650,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2106.865537,2106.865537,2106.865537,2106.865537,2106.865537,2199.87565,2309.882049,2630.087522,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
11,11236,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1587.353757,1587.353757,1587.353757,1587.353757,1587.353757,1587.353757,1587.353757,1587.353757,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
13,92335,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2366.31673,2366.31673,2366.31673,2366.31673,2366.31673,2366.31673,2366.31673,2366.31673,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
14,11208,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2159.699109,2159.699109,2159.699109,2159.699109,2159.699109,2159.699109,2159.699109,2465.286499,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
15,10467,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,1355.92125,1457.070941,1572.462916,1640.158573,1662.607769,1773.418127,1853.483489,1874.587927,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
16,11226,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1929.221115,2054.416331,2102.251221,2179.426651,2212.339341,2231.847875,2172.239329,2491.13316,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
17,78660,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,1281.809112,1351.725233,1372.72658,1412.183771,1443.826327,1462.839452,1647.703197,1907.758691,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
18,92503,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,1493.127089,1516.011688,1595.498198,1731.576389,1805.6949,1871.248765,2240.023723,2490.045303,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
19,90250,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1044.149704,1168.630093,1328.09331,1414.690977,1510.386832,1553.107253,1635.262277,1900.613273,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
20,90044,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1789.401565,1789.401565,1789.401565,1789.401565,1789.401565,1889.796844,1987.788331,2233.285995,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
21,90280,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2014.753627,2014.753627,2014.753627,2014.753627,2014.753627,2014.753627,2014.753627,2014.753627,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
22,92336,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2994.300229,2994.300229,2994.300229,2994.300229,2994.300229,2994.300229,2994.300229,2994.300229,"1,341.77","1,360.13","1,404.15","1,461.31","1,455.22","1,489.30","1,517.98","1,615.96"
